STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090711 07:15,4.95,0.3
COOP:123418,GOSHEN 3 SW IN US,20090711 07:30,4.96,0.1
COOP:123418,GOSHEN 3 SW IN US,20090711 08:00,4.97,0.1
COOP:123418,GOSHEN 3 SW IN US,20090711 08:15,4.98,0.1
COOP:123418,GOSHEN 3 SW IN US,20090711 13:45,4.99,0.1
COOP:123418,GOSHEN 3 SW IN US,20090712 15:30,4.99,-9999
COOP:123418,GOSHEN 3 SW IN US,20090712 23:30,4.98,-9999
COOP:123418,GOSHEN 3 SW IN US,20090713 13:15,4.99,0.1
COOP:123418,GOSHEN 3 SW IN US,20090713 22:15,4.98,-9999
COOP:123418,GOSHEN 3 SW IN US,20090714 00:45,4.99,0.1
COOP:123418,GOSHEN 3 SW IN US,20090714 05:00,5,0.1
COOP:123418,GOSHEN 3 SW IN US,20090715 09:15,5.01,0.1
COOP:123418,GOSHEN 3 SW IN US,20090716 22:00,5.02,0.1
COOP:123418,GOSHEN 3 SW IN US,20090716 22:15,5.03,0.1
COOP:123418,GOSHEN 3 SW IN US,20090716 22:45,5.04,0.1
COOP:123418,GOSHEN 3 SW IN US,20090717 08:00,5.05,0.1
COOP:123418,GOSHEN 3 SW IN US,20090718 06:15,5.06,0.1
COOP:123418,GOSHEN 3 SW IN US,20090719 17:15,5.07,0.1
COOP:123418,GOSHEN 3 SW IN US,20090720 21:15,5.08,0.1
COOP:123418,GOSHEN 3 SW IN US,20090721 12:00,5.08,-9999
COOP:123418,GOSHEN 3 SW IN US,20090722 00:45,5.07,-9999
COOP:123418,GOSHEN 3 SW IN US,20090722 07:15,5.08,0.1
COOP:123418,GOSHEN 3 SW IN US,20090722 23:30,5.09,0.1
COOP:123418,GOSHEN 3 SW IN US,20090723 01:15,5.1,0.1
COOP:123418,GOSHEN 3 SW IN US,20090725 04:00,5.14,0.4
COOP:123418,GOSHEN 3 SW IN US,20090725 04:15,5.15,0.1
COOP:123418,GOSHEN 3 SW IN US,20090725 04:45,5.16,0.1
COOP:123418,GOSHEN 3 SW IN US,20090726 11:30,5.17,0.1
COOP:123418,GOSHEN 3 SW IN US,20090727 01:45,5.16,-9999
COOP:123418,GOSHEN 3 SW IN US,20090727 10:45,5.17,0.1
COOP:123418,GOSHEN 3 SW IN US,20090728 16:30,5.18,0.1
COOP:123418,GOSHEN 3 SW IN US,20090728 16:45,5.24,0.6
COOP:123418,GOSHEN 3 SW IN US,20090728 17:00,5.25,0.1
COOP:123418,GOSHEN 3 SW IN US,20090728 17:30,5.29,0.4
COOP:123418,GOSHEN 3 SW IN US,20090728 17:45,5.32,0.3
COOP:123418,GOSHEN 3 SW IN US,20090728 18:00,5.35,0.3
COOP:123418,GOSHEN 3 SW IN US,20090729 06:30,5.36,0.1
COOP:123418,GOSHEN 3 SW IN US,20090801 00:15,5.36,0
COOP:123418,GOSHEN 3 SW IN US,20090804 17:00,4.12,-9999
COOP:123418,GOSHEN 3 SW IN US,20090807 19:00,4.13,0.1
COOP:123418,GOSHEN 3 SW IN US,20090808 09:45,4.14,0.1
COOP:123418,GOSHEN 3 SW IN US,20090811 13:45,4.15,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 07:15,4.16,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 07:30,4.17,0.1
