STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/25/2009,0.07,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/26/2009,0.01,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/27/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/28/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/29/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/30/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/1/2009,0.02,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/2/2009,0.05,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/3/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/4/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/5/2009,0.21,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/6/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/7/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/8/2009,0,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/9/2009,0.1,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/10/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/11/2009,0.12,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/12/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/13/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/14/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/15/2009,0.51,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/16/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/17/2009,0.5,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/18/2009,0.11,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/19/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/20/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/21/2009,0,0,,,,,,,,,,,,
