
Date / Time: Fri Mar 31 01:51:27 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (1):: Fit: 182.059	PB: 182.059	LB: 182.245	GB: 182.245	Conf: 1.70488	Pts: 125389
Particle (17):: Fit: 0.966423	PB: 0.966423	LB: 178.009	GB: 182.245	Conf: 0.246195	Pts: 55288
Particle (19):: Fit: 1.00732	PB: 1.00732	LB: 170.492	GB: 182.245	Conf: 2	Pts: 65389
Particle (40):: Fit: 1.01209	PB: 1.01209	LB: 179.631	GB: 182.245	Conf: 0.284712	Pts: 55385
Particle (6):: Fit: 1.04097	PB: 1.04097	LB: 182.245	GB: 182.245	Conf: 2	Pts: 55388
Particle (18):: Fit: 0.996082	PB: 0.996082	LB: 170.492	GB: 182.245	Conf: 2	Pts: 60488
Particle (25):: Fit: 1.02287	PB: 1.02287	LB: 169.755	GB: 182.245	Conf: 1.2994	Pts: 55288
Particle (26):: Fit: 140.575	PB: 140.575	LB: 169.755	GB: 182.245	Conf: 0.690791	Pts: 120187
Particle (33):: Fit: 1.00732	PB: 1.00732	LB: 176.668	GB: 182.245	Conf: 2	Pts: 55288
Particle (39):: Fit: 137.74	PB: 137.74	LB: 179.631	GB: 182.245	Conf: 0.451694	Pts: 100188
Particle (31):: Fit: 174.399	PB: 174.399	LB: 176.668	GB: 182.245	Conf: 1.92243	Pts: 120187
Particle (32):: Fit: 0.971845	PB: 0.971845	LB: 176.668	GB: 182.245	Conf: 1.95068	Pts: 55287
Particle (48):: Fit: 1.04097	PB: 1.04097	LB: 182.059	GB: 182.245	Conf: 2	Pts: 50487
Particle (23):: Fit: 0.996082	PB: 0.996082	LB: 140.575	GB: 182.245	Conf: 2	Pts: 55286
Particle (26):: Fit: 168.728	PB: 168.728	LB: 174.399	GB: 182.245	Conf: 1.17934	Pts: 140285
Particle (27):: Fit: 0.973869	PB: 0.973869	LB: 174.399	GB: 182.245	Conf: 1.96749	Pts: 55386
Particle (18):: Fit: 1.04097	PB: 1.04097	LB: 170.492	GB: 182.245	Conf: 2	Pts: 60585
Particle (27):: Fit: 1.02976	PB: 1.02976	LB: 174.399	GB: 182.245	Conf: 2	Pts: 55485
Particle (11):: Fit: 0.970629	PB: 0.970629	LB: 178.009	GB: 182.245	Conf: 1.8852	Pts: 55284
Particle (32):: Fit: 0.985037	PB: 0.985037	LB: 176.668	GB: 182.245	Conf: 1.98637	Pts: 55384
Particle (36):: Fit: 0.996912	PB: 0.996912	LB: 176.668	GB: 182.245	Conf: 1.65966	Pts: 75184
Particle (47):: Fit: 182.936	PB: 182.936	LB: 182.936	GB: 182.936	Conf: 1.76675	Pts: 145384
Global: 182.936 - Correct: 52% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.48
  -- 1 : 2 = 0.9848
  -- 1 : 3 = 0.2053
  -- 1 : 4 = 0.1678
  -- 1 : 5 = 0.9443
  -- 1 : 6 = 0.1001
  -- 1 : 7 = 0.1704
  -- 1 : 8 = 0.8963
  -- 1 : 9 = 0.3421
  -- 2 : 1 = 0.7664
  -- 2 : 2 = 0.8435
  -- 2 : 3 = 0.0629
  -- 2 : 4 = 0.9121
  -- 2 : 5 = 0.7958
  -- 2 : 6 = 0.057
  -- 2 : 7 = 0.3862
  -- 2 : 8 = 0.8279
  -- 2 : 9 = 0.29
  -- 3 : 1 = 0.4641
  -- 3 : 2 = 0.9021
  -- 3 : 3 = 0.4655
  -- 3 : 4 = 0.7832
  -- 3 : 5 = 0.9263
  -- 3 : 6 = 0.7636
  -- 3 : 7 = 0.3
  -- 3 : 8 = 0.7032
  -- 3 : 9 = 0.8562
  -- 4 : 1 = 0.176
  -- 4 : 2 = 0.5152
  -- 4 : 3 = 0.6118
  -- 4 : 4 = 0.3748
  -- 4 : 5 = 0.6742
  -- 4 : 6 = 0.3004
  -- 4 : 7 = 0.0021
  -- 4 : 8 = 0.7357
  -- 4 : 9 = 0.1964
  -- 5 : 1 = 0.1498
  -- 5 : 2 = 0.7467
  -- 5 : 3 = 0.2152
  -- 5 : 4 = 0.9934
  -- 5 : 5 = 0.3701
  -- 5 : 6 = 0.172
  -- 5 : 7 = 0.1978
  -- 5 : 8 = 0.8451
  -- 5 : 9 = 0.3097
  -- 6 : 1 = 0.2534
  -- 6 : 2 = 0.0385
  -- 6 : 3 = 0.7567
  -- 6 : 4 = 0.9784
  -- 6 : 5 = 0.8001
  -- 6 : 6 = 0.9417
  -- 6 : 7 = 0.3033
  -- 6 : 8 = 0.2941
  -- 6 : 9 = 0.4456
  -- 7 : 1 = 0.3765
  -- 7 : 2 = 0.6704
  -- 7 : 3 = 0.1614
  -- 7 : 4 = 0.8213
  -- 7 : 5 = 0.542
  -- 7 : 6 = 0.4505
  -- 7 : 7 = 0.3159
  -- 7 : 8 = 0.1129
  -- 7 : 9 = 0.6369
  -- 8 : 1 = 0.6924
  -- 8 : 2 = 0.5477
  -- 8 : 3 = 0.1644
  -- 8 : 4 = 0.3223
  -- 8 : 5 = 0.6897
  -- 8 : 6 = 0.3823
  -- 8 : 7 = 0.0948
  -- 8 : 8 = 0.8085
  -- 8 : 9 = 0.2549
  -- 9 : 1 = 0.0924
  -- 9 : 2 = 0.2099
  -- 9 : 3 = 0.1703
  -- 9 : 4 = 0.0577
  -- 9 : 5 = 0.1153
  -- 9 : 6 = 0.1126
  -- 9 : 7 = 0.9382
  -- 9 : 8 = 0.3868
  -- 9 : 9 = 0.8154
  -- 10 : 1 = 0.9787
  -- 10 : 2 = 0.3993
  -- 10 : 3 = 0.5312
