
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (15):: Fit: 8.71054	PB: 8.71054	LB: 14.5239	GB: 14.5239	Conf: 0.694991	Pts: 60196
Particle (16):: Fit: 11.6311	PB: 11.6311	LB: 14.5239	GB: 14.5239	Conf: 0.329756	Pts: 65196
Particle (20):: Fit: 7.2313	PB: 7.2313	LB: 11.6311	GB: 14.5239	Conf: 0.284114	Pts: 55296
Particle (22):: Fit: 8.73271	PB: 8.73271	LB: 11.2845	GB: 14.5239	Conf: 0.524498	Pts: 65196
Particle (25):: Fit: 8.66437	PB: 8.66437	LB: 11.722	GB: 14.5239	Conf: 0.826025	Pts: 55396
Particle (31):: Fit: 11.7467	PB: 11.7467	LB: 11.7467	GB: 14.5239	Conf: 0.712276	Pts: 105396
Particle (35):: Fit: 8.63939	PB: 8.63939	LB: 11.7467	GB: 14.5239	Conf: 0.873799	Pts: 55396
Particle (44):: Fit: 11.7226	PB: 11.7226	LB: 11.7404	GB: 14.5239	Conf: 0.520444	Pts: 50296
Particle (0):: Fit: 14.8015	PB: 14.8015	LB: 14.8015	GB: 14.8015	Conf: 0.994365	Pts: 170394
Particle (26):: Fit: 11.7269	PB: 11.7269	LB: 11.7467	GB: 14.8015	Conf: 0.863117	Pts: 85295
Particle (27):: Fit: 11.7351	PB: 11.7351	LB: 11.7467	GB: 14.8015	Conf: 0.57354	Pts: 120295
Particle (32):: Fit: 11.7339	PB: 11.7339	LB: 11.7467	GB: 14.8015	Conf: 0.567868	Pts: 70295
Particle (34):: Fit: 13.2014	PB: 13.2014	LB: 13.2014	GB: 14.8015	Conf: 0.518964	Pts: 150195
