
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (32):: Fit: 28.6962	PB: 28.6962	LB: 36.7177	GB: 76.1769	Conf: 2	Pts: 55198
Particle (34):: Fit: 33.5929	PB: 33.5929	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 55198
Particle (35):: Fit: 31.232	PB: 31.232	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 60198
Particle (36):: Fit: 31.232	PB: 31.232	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 55198
Particle (41):: Fit: 33.5929	PB: 33.5929	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 60198
Particle (46):: Fit: 31.232	PB: 31.232	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 50198
Particle (47):: Fit: 37.0128	PB: 37.0128	LB: 76.1769	GB: 76.1769	Conf: 1.09841	Pts: 60198
Particle (48):: Fit: 31.1245	PB: 31.1245	LB: 76.1769	GB: 76.1769	Conf: 1.82525	Pts: 50198
Particle (0):: Fit: 33.5929	PB: 33.5929	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 110297
Particle (2):: Fit: 28.6962	PB: 28.6962	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55297
Particle (6):: Fit: 33.5929	PB: 33.5929	LB: 69.0822	GB: 76.1769	Conf: 2	Pts: 55297
Particle (11):: Fit: 62.7552	PB: 62.7552	LB: 69.0822	GB: 76.1769	Conf: 0.760592	Pts: 65297
Particle (13):: Fit: 62.3751	PB: 62.3751	LB: 69.0822	GB: 76.1769	Conf: 1.60567	Pts: 80297
Particle (15):: Fit: 33.5929	PB: 33.5929	LB: 62.7552	GB: 76.1769	Conf: 2	Pts: 60197
Particle (16):: Fit: 34.3259	PB: 34.3259	LB: 62.3751	GB: 76.1769	Conf: 1.30682	Pts: 55297
Particle (18):: Fit: 44.8434	PB: 44.8434	LB: 44.8434	GB: 76.1769	Conf: 1.17505	Pts: 105197
Particle (19):: Fit: 62.3216	PB: 62.3216	LB: 62.3216	GB: 76.1769	Conf: 1.45458	Pts: 85197
Particle (21):: Fit: 35.8241	PB: 35.8241	LB: 62.3216	GB: 76.1769	Conf: 2	Pts: 65297
Particle (23):: Fit: 7.00481	PB: 7.00481	LB: 62.3216	GB: 76.1769	Conf: 0.949877	Pts: 60197
Particle (24):: Fit: 34.5192	PB: 34.5192	LB: 36.7177	GB: 76.1769	Conf: 0.49784	Pts: 55297
Particle (25):: Fit: 37.9589	PB: 37.9589	LB: 37.9589	GB: 76.1769	Conf: 2	Pts: 100197
Particle (28):: Fit: 44.6411	PB: 44.6411	LB: 44.6411	GB: 76.1769	Conf: 1.02734	Pts: 145196
Particle (29):: Fit: 35.8241	PB: 35.8241	LB: 44.6411	GB: 76.1769	Conf: 2	Pts: 60197
Particle (30):: Fit: 48.0206	PB: 48.0206	LB: 48.0206	GB: 76.1769	Conf: 1.87911	Pts: 100297
Particle (31):: Fit: 75.4417	PB: 75.4417	LB: 75.4417	GB: 76.1769	Conf: 1.68955	Pts: 115297
Particle (37):: Fit: 31.232	PB: 31.232	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 55197
Particle (40):: Fit: 29.0604	PB: 29.0604	LB: 48.9882	GB: 76.1769	Conf: 0.426388	Pts: 55197
Particle (44):: Fit: 28.6655	PB: 28.6655	LB: 37.0128	GB: 76.1769	Conf: 1.40469	Pts: 50197
Particle (48):: Fit: 68.0431	PB: 68.0431	LB: 76.1769	GB: 76.1769	Conf: 1.85255	Pts: 65297
Particle (2):: Fit: 31.232	PB: 31.232	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55396
Particle (3):: Fit: 35.8241	PB: 35.8241	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 60296
Particle (10):: Fit: 68.4936	PB: 68.4936	LB: 69.0822	GB: 76.1769	Conf: 1.78013	Pts: 100196
Particle (12):: Fit: 63.4267	PB: 63.4267	LB: 69.0822	GB: 76.1769	Conf: 1.00445	Pts: 70196
Particle (14):: Fit: 34.3169	PB: 34.3169	LB: 68.4936	GB: 76.1769	Conf: 1.01322	Pts: 55295
Particle (18):: Fit: 45.4779	PB: 45.4779	LB: 62.3216	GB: 76.1769	Conf: 1.59564	Pts: 105296
